Name,Category,List-Price,Price,Total Review,Rating Average,Discount,Discount Rate
Nước Xả Vải Comfort Cho Da Nhạy Cảm (3.2L/Túi)  - Phù Hợp Với Làn Da Em Bé,Chăm sóc nhà cửa,209000,168000,1777,4.7,41000,20
Túi Nước Giặt Omo Matic Bền Đẹp Cửa Trước 3.7Kg,Chăm sóc nhà cửa,199000,150000,32,5,49000,25
Túi Nước Giặt OMO Matic Comfort Hương Tinh dầu thơm 3.7kg,Chăm sóc nhà cửa,199000,161000,26,5,38000,19
Nước Giặt Ariel Hương Downy Túi 3.2Kg,Chăm sóc nhà cửa,186000,149000,224,4.8,37000,20
Combo 2 Túi Nước Giặt Omo Matic Bền Đẹp Cửa Trước 2.0Kg,Chăm sóc nhà cửa,254000,203000,255,4.8,51000,20
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Đậm Đặc Một Lần Xả Hương Ban Mai Túi 3.2L,Chăm sóc nhà cửa,179000,147000,477,4.8,32000,18
Túi Nước Giặt Omo Matic Cửa Trước Khử Mùi Thư Thái,Chăm sóc nhà cửa,127000,109000,601,4.8,18000,14
Nước Giặt Ariel Đậm Đặc Dạng Túi 3.6kg,Chăm sóc nhà cửa,202000,155000,533,4.8,47000,23
Nước Rửa Chén Sunlight Thiên Nhiên Muối Khoáng Và Lô Hội (3.6 kg) - Mới,Chăm sóc nhà cửa,114000,100000,994,4.8,14000,12
Nước Xả Vải Downy Nắng Mai  (3.5L/ Túi) - Giữ quần áo tươi mới - Hương thơm tươi mới kéo dài ,Chăm sóc nhà cửa,215000,176000,130,4.8,39000,18
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Hương Nước Hoa Thiên Nhiên Sophia túi 3.8L,Chăm sóc nhà cửa,219000,179000,335,4.8,40000,18
Túi Nước Giặt OMO Dịu Nhẹ Trên Da 2.9kg,Chăm sóc nhà cửa,165000,136000,403,4.8,29000,18
Combo 2 Túi Nước Giặt OMO Matic Comfort Hương Tinh dầu thơm 2.9kg,Chăm sóc nhà cửa,330000,298000,245,4.8,32000,10
Túi Nước Giặt Omo Matic Cửa Trên (4.0Kg),Chăm sóc nhà cửa,199000,161000,69,4.6,38000,19
Combo 2 Nước Giặt Ariel Matic Hương Downy 3.2kg,Chăm sóc nhà cửa,404000,307000,143,5,97000,24
Nước Xả Vải Downy Hương Nước Hoa Quyến Rũ (Huyền Bí) 4L (Dạng chai),Chăm sóc nhà cửa,260000,215000,57,5,45000,17
Túi Nước Giặt Omo Matic Bền Đẹp Cửa Trước 2.9Kg,Chăm sóc nhà cửa,165000,135000,225,4.7,30000,18
Nước Giặt Ariel Dịu Nhẹ Cho Da Nhạy Cảm Dạng Túi 3.25kg - Mềm mại ngát hương - An toàn cho da em bé,Chăm sóc nhà cửa,191000,154000,188,4.8,37000,19
Combo 2 Túi Nước Giặt Xả Maxkleen Hương Hoa Nắng (3.8kg/túi),Chăm sóc nhà cửa,380000,282000,311,4.8,98000,26
Combo 2 Túi nước giặt xả Maxkleen Hương Huyền Diệu 3.8kg/túi ,Chăm sóc nhà cửa,380000,282000,299,4.8,98000,26
Nước Rửa Chén Diệt Khuẩn Sunlight Chanh Và Lá Bạc Hà Mới (3.6kg/Chai) - Mới,Chăm sóc nhà cửa,114000,97000,417,4.8,17000,15
Nước Xả Vải Downy Hương Nước Hoa Huyền Bí (3.5L/ Túi),Chăm sóc nhà cửa,238000,194000,171,4.7,44000,18
Nước Giặt Downy Vườn Hoa Thơm Ngát Dạng Túi 2.15KG,Chăm sóc nhà cửa,148000,102000,85,4.8,46000,31
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Đậm Đặc Một Lần Xả Hương Ban Mai Túi 3.8L,Chăm sóc nhà cửa,219000,178000,108,4.7,41000,19
"[XỊT LÀ SẠCH] Nước tẩy cặn canxi HGO PLUS trên vòi rửa inox, vách kính, bồn rửa sứ trong nhà tắm. Chai 500ml ",Chăm sóc nhà cửa,195000,99000,21,4.5,96000,49
Combo 2 Nước Giặt Ariel Đậm Đặc 3.5kg,Chăm sóc nhà cửa,382000,309000,120,4.8,73000,19
Combo 3 Túi Nước Giặt Xả Maxkleen Hương Nước Hoa Huyền Diệu (2.4kg/túi),Chăm sóc nhà cửa,408000,282000,296,5,126000,31
Nước Giặt Ariel Giữ Màu Túi 3.2kg - Công nghệ 3D Làm sạch sâu - Giữ màu không phai,Chăm sóc nhà cửa,202000,129000,88,4.8,73000,36
Nước Lau Sàn Sunlight Tinh Dầu Thiên Nhiên - Hương Hoa Lily 3.8kg,Chăm sóc nhà cửa,93000,76000,525,4.8,17000,18
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Hương Nước Hoa Thiên Nhiên Bella Túi 3.8L,Chăm sóc nhà cửa,219000,180000,160,4.8,39000,18
Nước Xả Vải Downy Chống Khuẩn Ngăn Mùi Hôi 4L (Dạng chai),Chăm sóc nhà cửa,242000,196000,147,4.7,46000,19
 Nước xả vải Downy Hương Nắng mai 4L (Dạng chai),Chăm sóc nhà cửa,242000,165000,88,5,77000,32
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Ngăn Ngừa Mùi Hôi Hương Tươi Mát túi 3.8L,Chăm sóc nhà cửa,219000,173000,95,5,46000,21
Nước Giặt Ariel Khử Mùi Ẩm Mốc Túi 3.2kg,Chăm sóc nhà cửa,202000,145000,135,4.7,57000,28
Nước Xả Vải Downy Đam Mê Dạng Túi 3L,Chăm sóc nhà cửa,209000,171000,98,4.7,38000,18
Chai Nước Giặt Xả Maxkleen Hương Vườn Sớm Mai Sạch Khuẩn Thơm Mềm Tiện Lợi & Tiết Kiệm 2.4Kg Tặng Túi 600G,Chăm sóc nhà cửa,203000,138000,341,4.8,65000,32
Nước xả vải em bé Comfort Kháng Khuẩn Dịu Nhẹ Túi 2.4L,Chăm sóc nhà cửa,170000,142000,172,4.7,28000,16
 Thuốc diệt gián hộp 12 viên - Nội địa Nhật,Chăm sóc nhà cửa,321000,50000,54,4.7,271000,84
Nước Rửa Chén Sunlight Mềm Dịu Hương Bưởi Tây & Hoa Anh Đào Chai 3.6kg,Chăm sóc nhà cửa,114000,95000,3,5,19000,17
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Ngăn Ngừa Mùi Hôi Hương Tươi Mát túi 3.2L,Chăm sóc nhà cửa,179000,151000,346,4.8,28000,16
Nước Lau Sàn Sunlight Thiên Nhiên Chiết Xuất Chanh Yuzu & Tinh Dầu Sả 3.6Kg,Chăm sóc nhà cửa,100000,87000,160,4.8,13000,13
Nước Giặt Ariel Đậm Đặc Dạng Túi 3.5kg,Chăm sóc nhà cửa,191000,155000,43,4.8,36000,19
Combo 2 Túi Nước Xả Vải Downy Hương Nước Hoa Huyền Bí (2.3L/ Túi) - Công nghệ nước hoa mới - Lưu hương bền lâu,Chăm sóc nhà cửa,304000,275000,82,4.7,29000,10
Nước Rửa Chén Khử Mùi Tanh Sunlight Matcha Trà Nhật Mới (3.6kg / Chai) - Mới,Chăm sóc nhà cửa,114000,99000,348,4.8,15000,13
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Đậm Đặc Một Lần Xả Hương Ban Mai Túi 2.8L,Chăm sóc nhà cửa,170000,144000,83,4.8,26000,15
Combo 2 Túi Nước Giặt OMO Dịu Nhẹ Trên Da 2.0kg,Chăm sóc nhà cửa,254000,206000,397,4.8,48000,19
Nước Giặt Ariel Cửa Trước Tươi Mát Rực Rỡ 3.6Kg,Chăm sóc nhà cửa,233000,155000,62,4.8,78000,33
Nước Xả Vải Downy Đam Mê Dạng Túi 2.3L ,Chăm sóc nhà cửa,159000,129000,24,4.5,30000,19
Nước xả vải em bé Comfort Kháng Khuẩn Dịu Nhẹ Túi 1.5L,Chăm sóc nhà cửa,110000,94000,38,5,16000,15
Túi Nước Giặt Omo Matic Bền Đẹp Cửa Trước 2.0Kg,Chăm sóc nhà cửa,127000,105000,148,4.8,22000,17
THÙNG VIÊN GIẶT TIDE PODS HE LAUNDRY DETERGENT PODS 42x4 VIÊN (168 VIÊN),Chăm sóc nhà cửa,1350000,1050000,24,5,300000,22
Combo 2 Túi Nước Xả Vải Downy Đam Mê (2.3L/Túi) - Công nghệ nước hoa mới - Lưu hương bền lâu,Chăm sóc nhà cửa,304000,275000,78,4.8,29000,10
Túi Nước Giặt OMO Matic Comfort Hương Tinh dầu thơm 2.9kg,Chăm sóc nhà cửa,165000,135000,413,4.7,30000,18
Chai Nước Giặt Xả Maxkleen Hương Hoa Nắng Sạch Khuẩn Thơm Mềm Tiện Lợi & Tiết Kiệm 2.4Kg Tặng Túi 600G,Chăm sóc nhà cửa,203000,129000,11,5,74000,36
Combo 3 Túi Nước Giặt Xả Maxkleen 2.4kg/túi: 1 Hương Hoa nắng + 1 Hương Vườn sớm mai + 1 Hương Huyền diệu,Chăm sóc nhà cửa,408000,282000,210,5,126000,31
Nước xả làm mềm vải Comfort Chăm sóc Chuyên sâu Hương nước hoa thiên nhiên Bella túi 3.2L,Chăm sóc nhà cửa,179000,149000,165,4.8,30000,17
Nước Rửa Chén Sunlight Chanh Công Nghệ Mới Dạng Túi,Chăm sóc nhà cửa,59000,58000,317,4.8,1000,2
Combo 2 Túi Nước Giặt Ariel Matic Hương Downy (2.1Kg/ Túi),Chăm sóc nhà cửa,272000,227000,86,5,45000,17
Nước Rửa Chén Sunlight Chanh Công Nghệ Mới Dạng Túi,Chăm sóc nhà cửa,59000,58000,317,4.8,1000,2
Combo 2 Nước Xả Vải Downy Huyền Bí (3L/Túi),Chăm sóc nhà cửa,398000,341000,77,4.8,57000,14
Túi Nước Giặt OMO Matic Comfort Hương Tinh dầu thơm 2.9kg,Chăm sóc nhà cửa,165000,135000,413,4.7,30000,18
VIÊN GIẶT TIDE PODS HE LAUNDRY DETERGENT PODS 42 VIÊN (MẪU MỚI NHẤT),Chăm sóc nhà cửa,350000,249000,3,5,101000,29
Combo 2 Túi Nước Giặt OMO Matic Comfort Hương Tinh dầu thơm 2.9kg,Chăm sóc nhà cửa,330000,298000,245,4.8,32000,10
Nước Xả Vải Downy Đam Mê 3.5L,Chăm sóc nhà cửa,225000,194000,96,4.8,31000,14
Combo 2 Chai Vim Diệt Khuẩn Xanh Biển Bất Khả Chiến Bại 900ml,Chăm sóc nhà cửa,72000,58000,24,4.7,14000,19
"[ComBo 2 Hộp ] Thông Tắc Ngẽn Bồn Cầu, Thông Tắc Ngẽn Cống, Bột thông cống mạnh. Loại lớn 260g. Xử Lý nhanh tắc ngẽn",Chăm sóc nhà cửa,169000,54500,39,4.5,114500,68
Túi Nước Giặt Omo Matic Cửa Trước Khử Mùi Thư Thái,Chăm sóc nhà cửa,199000,148000,601,4.8,51000,26
Thuốc diệt kiến gián sinh học không mùi combo 2 chai,Chăm sóc nhà cửa,99000,33000,44,4.5,66000,67
Nước Xả Vải Downy Hương Đam Mê 4L (Dạng chai),Chăm sóc nhà cửa,312000,199000,39,4.8,113000,36
Combo 3 Túi Nước Giặt Xả Maxkleen Hương Hoa Nắng (2.4kg/túi),Chăm sóc nhà cửa,408000,282000,131,4.8,126000,31
Nước xả vải em bé Comfort Kháng Khuẩn Dịu Nhẹ Túi 1.5L,Chăm sóc nhà cửa,110000,94000,38,5,16000,15
Combo Nước giặt xả Maxkleen Hương Cam sả: 1 Chai 2.4kg + 1 Túi 600g,Chăm sóc nhà cửa,203000,139000,8,4.8,64000,32
Combo 2 Nước Rửa Chén Seventh Generation Lavender&Mint (750ml),Chăm sóc nhà cửa,130000,106000,276,4.7,24000,18
Nước Rửa Chén Diệt Khuẩn Sunlight Chanh Và Lá Bạc Hà Mới (3.6kg/Chai) - Mới,Chăm sóc nhà cửa,114000,97000,417,4.8,17000,15
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Đậm Đặc Một Lần Xả Hương Ban Mai Túi 2.8L,Chăm sóc nhà cửa,170000,144000,83,4.8,26000,15
Viên giặt Tide Pods 4 trong 1 Downy (104 viên),Chăm sóc nhà cửa,1000000,699000,7,5,301000,30
Nước xả vải Downy Hương nước hoa Đam Mê 4L,Chăm sóc nhà cửa,260000,215000,49,4.8,45000,17
