ID,Name Product,Price (VND) ,Total Review,Discount(%)
0,Máy Hút Bụi Mini Cầm Tay DEERMA DX128C,699000,166,58
1,Máy Lọc Không Khí Sharp FP-J30E-B - Hàng chính hãng,1799000,70,54
2,"Combo 3 lõi lọc nước Karofi 1,2,3 chính hãng",120000,586,57
3,Bàn Ủi Khô Nagakawa NAG1502 - Màu Ghi - Hàng Chính Hãng,200000,1,13
4,Máy Hút Bụi Cầm Tay Không Dây Damas XC628 - Chính Hãng,379000,318,58
5,Bàn Ủi Hơi Nước Cầm Tay Gấp Gọn,315000,14,67
6,Máy Lọc Không Khí Samsung AX40R3020WU/SV (Diện tích sử dung 39m2 )- Hàng Chính Hãng,2299000,601,53
7,Quạt đứng Toshiba F-LSD10(W)VN - Hàng chính hãng,1438900,398,20
8,Bàn Ủi Khô Philips HD1172 - Hàng chính hãng,305000,337,48
9,Máy Lọc Không Khí Sharp FP-J30E-A - Hàng chính hãng,1799000,85,54
10,Máy lọc không khí Sharp FP-J40E-W - Hàng chính hãng,3699000,5,47
11,Bàn Ủi Hơi Nước Đứng Philips GC482 - Hàng Chính Hãng,1545000,33,17
12,Quạt mini cầm tay tích điện tiện lợi kèm cáp sạc và pin có tặng chân đế giữ quạt để bàn gồm 3 chế độ gió siêu mát,40500,108,79
13,MÁY PHUN SƯƠNG MINI CHO NHÂN VIÊN VĂN PHÒNG,37500,9,81
14,"Quạt Mini Để Bàn, Quạt Điều Hoà Không Khí Mini Làm Mát Bằng Hơi Nước",165000,296,66
15,"Bộ lõi lọc nước Kangaroo số 1, 2, 3 Hàng chính hãng",157000,195,33
16,Quạt Đứng Toshiba F- LSA20(W)VN (60W) - Trắng - Hàng chính hãng,1002300,218,20
17,"Máy Hút Bụi Mini Cầm Tay Deerma DX118C Công Suất 600W, Lực Hút Mạnh 16000Pa- Hàng Chính Hãng",492000,641,51
18,Máy Hút Bụi Electrolux Z1231 (1600W) - Hàng chính hãng,1564900,290,7
19,Bàn Ủi Hơi Nước Đứng Philips GC518 (1600W) - Xanh Ngọc - Hàng chính hãng,1859000,209,28
20,Máy Lọc Không Khí BlueStone APB-9545 (Diện tích sử dung 35m2 - 60W) - Hàng Chính Hãng,2299000,69,74
21,Quạt Đứng Toshiba F-LSA10(K)VN - Hàng Chính Hãng,767500,485,22
22,Quạt Lồng Sắt Mini Đê Bàn Cực Mát (Màu Ngẫu Nhiên) - Sạc Bằng Cồng USB,77500,131,74
23,Máy Hút Bụi Cầm Tay Deerma-Deerma Vacuum Cleaner DX700 - Hàng Chính Hãng,799000,13,53
24,Quạt đứng Toshiba F-LSA10(H)VN (60W) - Xám - Hàng chính hãng,799400,12,19
25,Quạt Điện Đứng 7 cánh Senko LTS1636 - Giao Màu Ngẫu Nhiên - Hàng Chính Hãng,372000,196,25
26,QUẠT ĐÚNG HẸN GIỜ SENKO DH1600 hàng chính hãng (Màu sắc ngẫu nhiên),406000,56,12
27,Quạt Đứng Toshiba  F-LSD10(H)VN - Xám - Hàng chính hãng,1449900,242,19
28,"Quạt Cầm Tay Mini Thông Minh Benks F12  Đa Chức Năng (Giá Đỡ Điện Thoại, 3 Chế Độ Quạt, Pin 2000 mAh/3350 mAh) - Hàng chính hãng",289000,51,36
29,Máy Hút Bụi Không Dây Dùng Pin Sạc Lock&Lock ENV151 - Hàng Chính Hãng,2850000,93,50
30,Máy Làm Mát Không Khí Nagakawa NFC666 (150W) - Hàng Chính Hãng,2690000,148,40
31,Bàn Ủi Hơi Nước Philips GC1426/79 - Hàng chính hãng,579000,6,33
32,Máy Lọc Nước Pureit Classic Không Dùng Điện - Hàng Chính Hãng,1598900,466,52
33,"Robot hút bụi, lau nhà thông minh Liectroux C30B - Hàng chính hãng",3747000,11,41
34,"Máy hút bụi đệm giường,  chăn nệm  Deerma CM800 diệt khuẩn bằng tia UV ( hàng nhập khẩu )",710000,132,34
35,Máy Hút Bụi Cầm Tay MIDEA MVC SC861B - Trắng Xanh - Hàng chính hãng,645000,333,62
36,Máy Lọc Nước R.O 8 Lõi Sunhouse SHA8818K - Hàng Chính Hãng,3000000,462,50
37,Máy Lọc Không Khí Lock&Lock ENP126WHT - Hàng Chính Hãng,1800000,4,23
38,Quạt Đứng Mitsubishi LV16-RV CY-GY - Xám Đậm,1698900,50,3
39,Bộ Lọc Thay Thế Pureit - Hàng chính hãng,434900,103,55
40,Quạt điều hòa làm mát bằng hơi nước mini,159000,13,89
41,Quạt mini 2 cánh cổng USB ( giao màu ngẫu nhiên ),9000,5,80
42,Quạt Để Bàn Mini 4 Cánh - Dùng Để Quạt Hoặc Làm Mát  Cho Laptop,59000,38,62
43,Quạt điện đa năng có remote Kachi MK143 - Hàng chính hãng,599000,17,40
44,Máy Lọc Không Khí Và Tạo Ẩm Sharp KC-G40EV-W - Hàng chính hãng,5399000,11,21
45,"Quạt sạc mini xoay góc 720 độ, đế kẹp đa năng hoặc đặt bàn, an toàn cho trẻ với 4 nấc điều chỉnh gió chính hãng YOOBAO F04 - Hàng nhập khẩu",229000,0,8
46,Bàn ủi hơi nước cầm tay Tefal DT3030E0 - Hàng chính hãng,1009000,0,11
47,Quạt Bàn Đảo 2 Tấc Senko BD230 - Hàng Chính Hãng - Màu Ngẫu Nhiên,204000,0,
